id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
309,CCEN 4004,36,English for Academic and Professional Purposes Part I,5,13:00,14:20,KEC 510,
310,CCEN 4004,37,English for Academic and Professional Purposes Part I,3,14:30,15:50,KEC 501,
311,CCEN 4004,37,English for Academic and Professional Purposes Part I,5,10:00,11:20,KEC 605,
312,CCEN 4004,38,English for Academic and Professional Purposes Part I,2,11:30,12:50,KEC 506,
313,CCEN 4004,38,English for Academic and Professional Purposes Part I,3,11:30,12:50,KEC 703,
314,CCEN 4004,39,English for Academic and Professional Purposes Part I,1,11:30,12:50,KEC 710,
315,CCEN 4004,39,English for Academic and Professional Purposes Part I,3,08:30,09:50,KEC 605,
316,CCEN 4004,40,English for Academic and Professional Purposes Part I,1,16:00,17:20,KEC 606,
317,CCEN 4004,40,English for Academic and Professional Purposes Part I,2,14:30,15:50,KEC 510,
318,CCEN 4004,41,English for Academic and Professional Purposes Part I,1,14:30,15:50,KEC 606,
319,CCEN 4004,41,English for Academic and Professional Purposes Part I,2,16:00,17:20,KEC 510,
320,CCEN 4004,42,English for Academic and Professional Purposes Part I,1,10:00,11:20,KEC 710,
